Original Name,Processed Name
L-Alanine   ,l-alanine
L-Arginine   ,l-arginine
L-Aspartic Acid   ,l-aspartic acid
L-Glutamic Acid   ,l-glutamic acid
L-Glycine   ,l-glycine
L-Histidine  (Essential Amino Acids)  ,l-histidine
L-Hydroxylysine   ,l-hydroxylysine
L-Hydroxyproline   ,l-hydroxyproline
L-Isoleucine  (Essential Amino Acids)  ,l-isoleucine
L-Leucine  (Essential Amino Acids)  ,l-leucine
L-Lysine  (Essential Amino Acids)  ,l-lysine
L-Methionine  (Essential Amino Acids)  ,l-methionine
L-Phenylalanine  (Essential Amino Acids)  ,l-phenylalanine
L-Proline   ,l-proline
L-Serine   ,l-serine
L-Threonine  (Essential Amino Acids)  ,l-threonine
L-Tyrosine   ,l-tyrosine
L-Valine  (Essential Amino Acids)  ,l-valine
L-Ornithine   ,l-ornithine
Vanadium   (as vanadium amino acid chelate)  ,vanadium
|Amino 8X(TM) Blend   (Amino Acid Blend of L-Lysine, L-Glycine, L-Glutamic Acid, L-Arginine, Gamma Amino Butyric Acid, L-Glutamine, L-Tyrosine, L-Citrulline)  |,amino x
Glutamic Acid HCl   ,glutamic acid hcl
Copper   (as {Copper} Amino Acid Chelate)  ,copper
Manganese   (as {Manganese} Amino Acid Chelate)  ,manganese
Molybdenum   (as {Molybdenum} Amino Acid Chelate)  ,molybdenum
Potassium   (as {Potassium} Amino Acid Chelate)  ,potassium
L-Arginine   ,l-arginine
Acetyl-L-Carnitine   ,acetyl-l-carnitine
Manganese   ({Manganese} Amino Acid Chelate)  ,manganese
N-Acetyl L-Carnitine   ,n-acetyl l-carnitine
N-Acetyl L-Cysteine   ,n-acetyl l-cysteine
|Amino Acid Blend   (L-Arginine, L-Citrulline, L-Glutamic Acid, L-Glutamine, L-Glycine, L-Lysine, L-Tyrosine, GABA (gamma aminobutyric acid) )  |,amino acid
|Amino Acid Blend   (L-Arginine, L-Citrulline, L-Glutamic Acid, L-Glutamine, L-Glycine, L-Lysine, L-Tyrosine, GABA (gamma aminobutyric acid) )  |,amino acid
Taurine   ,taurine
Chromium   (as {Chromium} Amino Acid Chelate)  ,chromium
Vanadium   (as vanadium amino acid chelate)  ,vanadium
L-Methionine   ,l-methionine
L-Cysteine   ,l-cysteine
|AjiPure Amino Acid Blend   (L-Glutamine, Leucine, Iso-Leucine, Valine)  |,ajipure amino acid
L-Glutamine   ,l-glutamine
Leucine   ,leucine
Iso-Leucine   ,iso-leucine
Valine   ,valine
L-Glutamine   ,l-glutamine
Leucine   ,leucine
Iso-Leucine   ,iso-leucine
Valine   ,valine
L-Glutamine   ,l-glutamine
Leucine   ,leucine
Iso-Leucine   ,iso-leucine
Valine   ,valine
Chromium   (as Chelavite(R) amino acid chelate)  ,chromium
Beta-Alanine   ,beta-alanine
