Original Name,Processed Name
Omega 3   (Fish Oil)  ,omega
Green Lipped Mussel Powder   ,green lipped mussel
Fish Oil Powder   ,fish oil
Colostrum   (40.0% IgG)  ,colostrum
Oyster Extract   ,oyster
Chitosan   ,chitosan
Deer Antler Velvet   ,deer antler velvet
Orchic Substance   ,orchic substance
Orchic   ,orchic
Oyster extract   ,oyster
Thymus (Bovine)   ,thymus
|Chitosan   (shrimp, Crab, lobster)  |,chitosan
|Fish Oil   (from Sardine, Anchovy, Mackerel)  |,fish oil
Adrenal Tissue  (Bovine)  ,adrenal tissue
Pancreas Tissue  (Porcine)  ,pancreas tissue
Thymus Tissue  (Ovine)  ,thymus tissue
Spleen Tissue  (Bovine)  ,spleen tissue
Lactoferrin  (Bovine)  (Milk)  ,lactoferrin
Colostrum  (Bovine)  (Milk)  ,colostrum
Lysozyme   (Egg white)  ,lysyme
|Liver  (Bovine, Lyophilized)  |,liver
|Proprietary Blend  (shrimp, crab, lobster)  (Chitosan Oligosaccharide, and Chitosan)  |,proprietary
DNA   (from salmon)  ,dna
Bile (Bovine)   ,bile
Bile (Bovine)   ,bile
Pancreas Tissue (Bovine)   ,pancreas tissue
Pancreas Tissue (Ovine)   ,pancreas tissue
Pancreas Tissue  (Porcine)  ,pancreas tissue
Pancreas Tissue  (Porcine)  ,pancreas tissue
Pancreatin   ,pancreatin
|Fish Oil   (from Sardine, Anchovy, Mackerel)  |,fish oil
|Fish Oil   (from Sardine, Anchovy, Mackerel)  |,fish oil
Adrenal Tissue  (Bovine)  ,adrenal tissue
Pancreas Tissue  (Porcine)  ,pancreas tissue
Thymus Tissue  (Ovine)  ,thymus tissue
Spleen Tissue  (Bovine)  ,spleen tissue
Thyroid Tissue  (Bovine)  ,thyroid tissue
Thymus Tissue  (Ovine)  ,thymus tissue
Stomach Substance   ,stomach substance
Duodenal Substance   ,duodenal substance
Ox Bile extract   ,ox bile
Raw Adrenal Concentrate  ((Bovine origin)(not from an extract))  ,raw adrenal
Marine Lipid concentrate   (stabilized in a proprietary antioxidant base)  ,marine lipid
Spleen  ((all of Bovine origin) (not from an extract))  ,spleen
Brain  ((all of Bovine origin) (not from an extract))  ,brain
Liver  ((all of Bovine origin) (not from an extract))  ,liver
Heart  ((all of Bovine origin) (not from an extract))  ,heart
Kidney  ((all of Bovine origin) (not from an extract))  ,kidney
Pancreas  ((all of Bovine origin) (not from an extract))  ,pancreas
Duodenum  ((all of Bovine origin) (not from an extract))  ,duodenum
Thymus  ((all of Bovine origin) (not from an extract))  ,thymus
Adrenal  ((all of Bovine origin) (not from an extract))  ,adrenal
Pituitary  ((all of Bovine origin) (not from an extract))  ,pituitary
Raw Pancreas Concentrate  ((Bovine origin) (not from an extract))  ,raw pancreas
Raw Pituitary Concentrate  ((bovine origin) (not from an extract))  ,raw pituitary
Bovine Tracheal Cartilage   ,bovine tracheal cartilage
Raw Thymus Concentrate  ((Bovine origin) (not an extract))  ,raw thymus
Raw Thyroid Concentrate  ((Bovine origin)(not from an extract))  ,raw thyroid
|Pancreatin  ((200 mg 4x) (20,000 USP Units of Amylase Activity) (1,600 USP Units of Lipase Activity) (20,000 USP Units of Protease Activity))  |,pancreatin
Pancreatin  ((200 mg 4x) (20000 Units of Amylase Activity) (1600 Units of Lipase Activity) (20000 Units of Protease Activity))  ,pancreatin
Pancreatin  ((200 mg 4x) (20000 Units of Amylase Activity) (1600 Units of Lipase Activity) (20000 Units of Protease Activity))  ,pancreatin
Bovine Cartilage   ,bovine cartilage
Bovine Cartilage   ,bovine cartilage
Ox Bile extract   ,ox bile
Duodenal Substance   ,duodenal substance
{Royal Jelly} 3:1 concentrate   ,royal jelly
Hyssopus Officinalis Herb   ,hyssopus officinalis
nonfat dry milk   ,nonfat dry milk
|Molecularly Distilled Fish Oil   (derived from sardine, anchovy, mackerel)  |,molecularly distilled fish oil
|Molecularly Distilled Fish Oil   (derived from sardine, anchovy, mackerel)  |,molecularly distilled fish oil
|Molecularly Distilled Fish Oil   (derived from sardine, anchovy, mackerel)  |,molecularly distilled fish oil
Shark Cartilage  (Provides minimum 16% mucopolysaccharides)  ,shark cartilage
whole Adrenal   (bovine)  ,whole adrenal
Sea Cucumber  (Cucumaria frondosa)  ,sea cucumber
Perna Canaliculus  (Green Lipped Mussel)   ,perna canaliculus
Perna Canaliculus  (Green Lipped Mussel)   ,perna canaliculus
Coral Powder   ,coral
Coral powder   ,coral
Sea Whistle   ,sea whistle
Sea Whistle   ,sea whistle
Brain Extract  (Porcine)  ,brain
Eye Extract  (Porcine)  ,eye
Brain Extract  (Porcine)  ,brain
Eye Extract  (Porcine)  ,eye
Soluble Cartilage  (Bovine/Porcine)  ,soluble cartilage
Soluble Cartilage  (Bovine/Porcine)  ,soluble cartilage
Soluble Cartilage  (Bovine/Porcine)  ,soluble cartilage
Brain Extract  (Porcine)  ,brain
Brain Extract  (Porcine)  ,brain
Pancreatin  (Porcine)  ,pancreatin
Pancreatin  (Porcine)  ,pancreatin
Pancreatin  (Porcine)  ,pancreatin
Pancreatin  (Porcine)  ,pancreatin
Pancreatin  (Porcine)  ,pancreatin
Pancreatin  (Porcine)  ,pancreatin
Pancreas Extract  (Porcine)  ,pancreas
Pancreas Extract  (Porcine)  ,pancreas
Pancreas Extract  (Porcine)  ,pancreas
Pancreas Extract  (Porcine)  ,pancreas
Pancreas Substance  (porcine)  ,pancreas substance
Pancreas Substance  (porcine)  ,pancreas substance
Bile Extract  (Porcine and/or Bovine)  ,bile
Pancreatin  (Porcine)  ,pancreatin
Bile Extract  (Porcine and/or Bovine)  ,bile
Pancreatin  (Porcine)  ,pancreatin
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Liver Extract  (Bovine)  ,liver
Liver Extract  (Bovine)  ,liver
Freeze Dried Pancreas  (Porcine)  ,pancreas
Freeze Dried Pancreas  (Porcine)  ,pancreas
Bile Extract  (Porcine and/or Bovine)  ,bile
Lipase  (Porcine)  ,lipase
Bile Extract  (Porcine and/or Bovine)  ,bile
Lipase  (Porcine)  ,lipase
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Thymus Extract  (Porcine)  ,thymus
Thymus Extract  (Porcine)  ,thymus
Thymus Extract  (Porcine)  ,thymus
Placenta Extract  (Bovine)  ,placenta
Placenta Extract  (Bovine)  ,placenta
Brain Extract   (from porcine)  ,brain
Eye Extract  (porcine)  ,eye
Brain Extract   (from porcine)  ,brain
Eye Extract  (porcine)  ,eye
Spleen Extract  (Porcine)  ,spleen
Spleen Extract  (Porcine)  ,spleen
Stomach Extract  (Porcine)  ,stomach
Stomach Extract  (Porcine)  ,stomach
Stomach Extract  (Porcine)  ,stomach
Bile Extract  (Porcine and/or Bovine)  ,bile
Bile Extract  (Porcine and/or Bovine)  ,bile
Brain Extract   (from porcine)  ,brain
Brain Extract   (from porcine)  ,brain
Brain Extract   (from porcine)  ,brain
Thymus Extract  (Porcine)  ,thymus
Thymus Extract  (Porcine)  ,thymus
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Abgland Adrenal Cortex   ,abgland adrenal cortex
Thyroid   ,thyroid
Pituitary   ,pituitary
Hypothalamus   (abgland {Hypothalamus})  ,hypothalamus
