Original Name,Processed Name
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
|Probiotic Blend containing:  (At the time of manufacture.)  (Bifidobacterium lactis (Bifidobacterium lactis), Lactobacillus acidophilus (Lactobacillus acidophilus), Lactobacillus plantarum (Lactobacillus plantarum), Bifidobacterium longum (Bifidobacterium longum), Lactobacillus rhamnosus (Lactobacillus rhamnosus), Lactobacillus salivarius (Lactobacillus salivarius), Lactobacillus casei (Lactobacillus casei), Bifidobacterium bifidum (Bifidobacterium bifidum), Lactobacillus bulgaricus (Lactobacillus bulgaricus), Streptococcus thermophilus (Streptococcus thermophilus))  |,probiotic containing
|Probiotic (Dairy Free) Blend   (Bifidobacterium Breve (Bifidobacterium Breve), Lactobacillus Casei (Lactobacillus Casei), Bifidobacterium longum (Bifidobacterium longum), Lactobacillus acidophilus (Lactobacillus acidophilus), Lactobacilllus Lactis)  |,probiotic
{Blend}   ,
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Streptococcus thermophilus  (Streptococcus thermophilus)  ,streptococcus thermophilus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Streptococcus thermophilus  (Streptococcus thermophilus)  ,streptococcus thermophilus
Lactobacillus casei  (Lactobacillus casei)  ,lactobacillus casei
Lactobacillus rhamnosus  (Lactobacillus  rhamnosus)  ,lactobacillus rhamnosus
Lactobacillus delbrueckii  (Lactobacillus delbrueckii)  ,lactobacillus delbrueckii
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
L. reuteri  (L. reuteri)  ,l reuteri
L. acidophilus DDS-1  (L. acidophilus)  ,l acidophilus dds-1
L. sporogenes  (L. sporogenes)  ,l sporogenes
B. bifidum  (B. bifidum)  ,b bifidum
B. longum  (B. longum)  ,b longum
L. plantarum  (L. plantarum)  ,l plantarum
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
L. salivarius  (L. salivarius)  ,l salivarius
B. lactis  (B. lactis)  ,b lactis
S. thermophilus  (S. thermophilus)  ,s thermophilus
|Green Tea extract   (75.0% Catechins, < 2.0% Caffeine)  |,green tea
L. reuteri  (L. reuteri)  ,l reuteri
L. acidophilus DDS-1  (L. acidophilus)  ,l acidophilus dds-1
L. sporogenes  (L. sporogenes)  ,l sporogenes
B. bifidum  (B. bifidum)  ,b bifidum
B. longum  (B. longum)  ,b longum
L. plantarum  (L. plantarum)  ,l plantarum
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
L. salivarius  (L. salivarius)  ,l salivarius
B. lactis  (B. lactis)  ,b lactis
S. thermophilus  (S. thermophilus)  ,s thermophilus
|Green Tea extract   (75.0% Catechins, < 2.0% Caffeine)  |,green tea
Thiamine  (B1)   (Buckwheat (Austria))  ,thiamine
L. acidophilus DDS-1  (L. acidophilus)  ,l acidophilus dds-1
B. bifidum  (B. bifidum)  ,b bifidum
B. lactis  (B. lactis)  ,b lactis
B. longum  (B. longum)  ,b longum
L. plantarum  (L. plantarum)  ,l plantarum
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
L. salivarius  (L. salivarius)  ,l salivarius
S. thermophilus  (S. thermophilus)  ,s thermophilus
L. reuteri  (L. reuteri)  ,l reuteri
Saccharomyces boulardii  ((10 billion) (Contains 10 billion active cultures at time of manufacture)  ,saccharomyces boulardii
Green Tea extract  (98%)  ,green tea
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus casei  (Lactobacillus casei)  ,lactobacillus casei
Lactobacillus plantarum  (Lactobacillus plantarum)  ,lactobacillus plantarum
Lactobacillus salivarius  (Lactobacillus salivarius)  ,lactobacillus salivarius
Lactobacillus acidophilus  (Lactobacillus  acidophilus)  ,lactobacillus acidophilus
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Bifidobacterium breve  (Bifidobacterium breve)  ,bifidobacterium breve
Lactobacillus acidophilus DDS-1  (Lactobacillus acidophilus)  ,lactobacillus acidophilus dds-1
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Bifidobacterium longum   ,bifidobacterium longum
Lactobacillus sporogenes   ,lactobacillus sporogenes
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus casei  (Lactobacillus casei)  ,lactobacillus casei
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium longum   ,bifidobacterium longum
L. salivarius  (L. salivarius)  ,l salivarius
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
Lactobacillus rhamnosus lysate powder  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus lysate
Lactobacillus rhamnosus lysate powder  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus lysate
Lactobacillus rhamnosus lysate powder  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus lysate
Lactobacilli   ,lactobacilli
Bifidobacteria   ,bifidobacteria
Streptococcus thermophilus  (Streptococcus thermophilus)  ,streptococcus thermophilus
Lactobacillus bulgaricus  (Lactobacillus bulgaricus)  ,lactobacillus bulgaricus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Lactobacillus plantarum  (Lactobacillus plantarum)  ,lactobacillus plantarum
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus salivarius  (Lactobacillus salivarius)  ,lactobacillus salivarius
Lactobacillus gasseri  (Lactobacillus gasseri)  ,lactobacillus gasseri
Lactobacillus helveticus  (Lactobacillus helveticus)  ,lactobacillus helveticus
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus bulgaricus  (Lactobacillus bulgaricus)  ,lactobacillus bulgaricus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Lactobacillus plantarum  (Lactobacillus plantarum)  ,lactobacillus plantarum
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus gasseri  (Lactobacillus gasseri)  ,lactobacillus gasseri
Lactobacillus salivarius  (Lactobacillus salivarius)  ,lactobacillus salivarius
Lactobacillus helveticus   ,lactobacillus helveticus
L. acidophilus  (L. acidophilus)  ,l acidophilus
L. acidophilus  (L. acidophilus)  ,l acidophilus
L. acidophilus  (L. acidophilus)  ,l acidophilus
L. acidophilus  (L. acidophilus)  ,l acidophilus
Lactobacillus acidophilus  (Lactobacillus  acidophilus)  ,lactobacillus acidophilus
Lactobacillus acidophilus  (Lactobacillus  acidophilus)  ,lactobacillus acidophilus
Bacillus coagulans  (LactoSpore(R))  (Bacillus coagulans)  ,bacillus coagulans
B. bifidum   ,b bifidum
L. acidophilus  (DDS-1 Strain)  ,l acidophilus
B. bifidum   ,b bifidum
L. acidophilus  (DDS-1 Strain)  ,l acidophilus
Probiotics   ,probiotics
L. acidophilus DDS-1 strain   ,l acidophilus dds-1 strain
B. bifidum   ,b bifidum
B. infantis   ,b infantis
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
|Lactobacillus Blend  ((which contains over 1 billion active) (Guaranteed Per Serving, at time of manufacture))  |,lactobacillus
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus bifidus  (Lactobacillus bifidus)  ,lactobacillus bifidus
Lactobacillus Blend  (which contains over 1 billion active Lactobacillus Acidophilus and Bifidobacterium Bifidum)  ,lactobacillus
Lactobacillus Blend  (which contains over 1 billion active Lactobacillus Acidophilus and Bifidobacterium Bifidum)  ,lactobacillus
|Lactobacillus Blend  (which contains over 1 billion active Lactobacillus Acidophilus and Bifidobacterium Bifidum^ ^Guaranteed Per Serving, at time of manufacture)  |,lactobacillus
|Lactobacillus Blend  (which contains 1 billion active Lactobacillus Acidophilus and Bifidobacterium Bifidum^ ^Guaranteed Per Serving, at time of manufacture)  |,lactobacillus
L. plantarum  (L. plantarum)  ,l plantarum
L. acidophilus  (L. acidophilus)  ,l acidophilus
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
L. salivarius  (L. salivarius)  ,l salivarius
L. casei  (L. casei)  ,l casei
B. Bifidum  (B. Bifidum)  ,b bifidum
B. infantis  (B. infantis)  ,b infantis
B. longum  (B. longum)  ,b longum
L. fermentum  (L. fermentum)  ,l fermentum
S. thermophilus  (S. thermophilus)  ,s thermophilus
|Bio-Active Probiotic Complex  ((2,000,000,000 CFUs) at time of manufacture)  (Lactobacillus acidophilus (Lactobacillus acidophilus), B. bifidum (B. bifidum), L. bulgaricus (L. bulgaricus), L. brevis (L. brevis), Bifidobacterium lactis (Bifidobacterium lactis))  |,bio-active probiotic
|Bio-Active Probiotic Complex  ((2,000,000,000 CFUs) at time of manufacture)  (Lactobacillus acidophilus (Lactobacillus acidophilus), B. bifidum (B. bifidum), L. bulgaricus (L. bulgaricus), L. brevis (L. brevis), Bifidobacterium lactis (Bifidobacterium lactis))  |,bio-active probiotic
B. bifidum  (B. bifidum)  ,b bifidum
L. brevis  (L. brevis)  ,l brevis
Bifidobacterium Bifidum  (Bifidobacterium Bifidum)  ,bifidobacterium bifidum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus bulgaricus  (Lactobacillus bulgaricus)  ,lactobacillus bulgaricus
Bifidobacterium Bifidum  (Bifidobacterium Bifidum)  ,bifidobacterium bifidum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus bulgaricus  (Lactobacillus bulgaricus)  ,lactobacillus bulgaricus
L-Bulgaricus  (L bulgaricus)  ,l-bulgaricus
B-Bifidum  (B bifidum)  ,b-bifidum
L-acidophilus  (L acidophilus)  ,l-acidophilus
L-bulgaricus  (L bulgaricus)  ,l-bulgaricus
B-bifidum  (B bifidum)  ,b-bifidum
L-Bulgaricus  (L bulgaricus)  ,l-bulgaricus
B-Bifidum  (B bifidum)  ,b-bifidum
Lactobacillus bulgaricus  (Lactobacillus bulgaricus)  ,lactobacillus bulgaricus
|Proprietary Blend of Cultures  (Guaranteed Per Serving, At Time of Manufacture)  (which contains 6 billion active Lactobacillus acidophilus (Lactobacillus acidophilus), B. bifidum (B. bifidum), Lactobacillus salivarius (Lactobacillus salivarius), Lactobacillus bulgaricus (Lactobacillus bulgaricus))  |,proprietary of cultures
|Proprietary Blend of Cultures  (Guaranteed Per Serving, At Time of Manufacture)  (which contains 6 billion active Lactobacillus acidophilus (Lactobacillus acidophilus), B. bifidum (B. bifidum), Lactobacillus salivarius (Lactobacillus salivarius), Lactobacillus bulgaricus (Lactobacillus bulgaricus))  |,proprietary of cultures
B. bifidum  (B. bifidum)  ,b bifidum
Lactobacillus salivarius  (Lactobacillus salivarius)  ,lactobacillus salivarius
LactoBacillus Bulgaricus  (LactoBacillus Bulgaricus)  ,lactobacillus bulgaricus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium bifidum  (Bifidobacterium bifidum)  ,bifidobacterium bifidum
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium lactis  (Bifidobacterium lactis)  ,bifidobacterium lactis
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium lactis  (Bifidobacterium lactis)  ,bifidobacterium lactis
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium lactis  (Bifidobacterium lactis)  ,bifidobacterium lactis
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Bifidobacterium lactis  (Bifidobacterium lactis)  ,bifidobacterium lactis
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Bifidobacterium lactis Bi-07  (Bifidobacterium  lactis)  ,bifidobacterium lactis bi-07
Bifidobacterium lactis HN019  (Bifidobacterium lactis)  ,bifidobacterium lactis hn019
Lactobacillus acidophilus NCFM  (Lactobacillus acidophilus)  ,lactobacillus acidophilus ncfm
Lactobacillus rhamnosus HN001  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus hn001
Bifidobacterium lactis Bi-07  (Bifidobacterium lactis)  ,bifidobacterium lactis bi-07
Bifidobacterium lactis HN019  (Bifidobacterium lactis)  ,bifidobacterium lactis hn019
Lactobacillus acidophilus NCFM  (Lactobacillus acidophilus)  ,lactobacillus acidophilus ncfm
Lactobacillus rhamnosus HN001  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus hn001
B. Bifidum   ,b bifidum
B. Lactis   ,b lactis
B. longum  (B. longum)  ,b longum
L. acidophilus  (L. acidophilus)  ,l acidophilus
L. Brevis   ,l brevis
L. Casei   ,l casei
L. Plantarum   ,l plantarum
L. rhamnosus  (L. rhamnosus)  ,l rhamnosus
L. Salivarius   ,l salivarius
S. Thermophilus   ,s thermophilus
L. Lactis   ,l lactis
S. Boulardii   ,s boulardii
Probiotics   ,probiotics
L. acidophilus  (L. acidophilus)  ,l acidophilus
S. boulardii  (S. boulardii)  ,s boulardii
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
Lactobacillus acidophilus  (Lactobacillus acidophilus)  ,lactobacillus acidophilus
Lactobacillus casei  (Lactobacillus casei)  ,lactobacillus casei
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Bifidobacterium breve  (Bifidobacterium breve)  ,bifidobacterium breve
Lactobacillus plantarum  (Lactobacillus plantarum)  ,lactobacillus plantarum
Bacillus coagulans  (Bacillus coagulans) (150 Million CFU)  (as Lactospore(R))  ,bacillus coagulans
L. acidophilus  (L. acidophilus) (50%)  ,l acidophilus
L. casei  (L. casei) (10%)  ,l casei
L. plantarum  (L. plantarum) (10%)  ,l plantarum
L. rhamnosus  (L. rhamnosus) (10%)  ,l rhamnosus
B. lactis  (B. lactis) (10%)  ,b lactis
B. longum  (B. longum) (5%)  ,b longum
S. thermophilus  (S. thermophilus) (5%)  ,s thermophilus
Lactobacillus rhamnosus  (Lactobacillus rhamnosus)  ,lactobacillus rhamnosus
Lactobacillus casei  (Lactobacillus casei)  ,lactobacillus casei
Lactobacillus plantarum  (Lactobacillus plantarum)  ,lactobacillus plantarum
Bifidobacterium longum  (Bifidobacterium longum)  ,bifidobacterium longum
