Original Name,Processed Name
Soy Protein  (Amino Acid Blend)  ,soy protein
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Prebiotic Blend   ,proprietary prebiotic
Greens Blend   ,greens
Greens Blend   ,greens
Greens Blend   ,greens
Greens Blend   ,greens
Fiber Blend   ,fiber
Amazing Grass Green Food Blend   ,amazing grass green food
Amazing Grass Green Food Blend   ,amazing grass green food
Amazing Grass Green Food Blend   ,amazing grass green food
Chocolate Blend   ,chocolate
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Proprietary Blend   ,proprietary
Green Food Concentrates   ,green food
Land Greens Blend  ((concentrated 1500%) (totaling))  ,land greens
Land Greens  (totaling)  ,land greens
Sea Greens   ,sea greens
Sea Vegetable Blend  (totaling)  ,sea vegetable
Phytonutrient & Fiber Concentrates   ,phytonutrient fiber
Herbal Tonic Formula   ,herbal tonic formula
Herbal Antioxidants   ,herbal antioxidants
Nutrient Concentrates   ,nutrient
Full Spectrum Digestive Enzyme Blend   ,full spectrum digestive enzyme
Greens Blend   ,greens
|Enzyme, Probiotic and Prebiotic Blend   |,enzyme probiotic prebiotic
Herbal Tonic Blend   ,herbal tonic
Greens Blend   ,greens
|Enzyme, Probiotic and Prebiotic Blend   |,enzyme probiotic prebiotic
Herbal Tonic Blend   ,herbal tonic
Green Food Concentrates   ,green food
Land Greens Blend  ((concentrated 1500%) (totaling))  ,land greens
Land Greens  (totaling)  ,land greens
Sea Greens   ,sea greens
Sea Vegetable Blend  (totaling)  ,sea vegetable
Phytonutrient & Fiber Concentrates   ,phytonutrient fiber
Herbal Tonic Formula   ,herbal tonic formula
Herbal Antioxidants   ,herbal antioxidants
