Original Name,Processed Name
Total Carbohydrates   ,total carbohydrates
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carb   ,total carb
Sugars   ,sugars
Total Carb   ,total carb
Sugars   ,sugars
Total Carb   ,total carb
Sugars   ,sugars
Carbohydrates   ,carbohydrates
Sugars   ,sugars
Carbohydrates   ,carbohydrates
Sugars   ,sugars
|Total Carbohydrate   (Complex carbohydrates, Dextrose, Sucrose)  |,total carbohydrate
Sugars   ,sugars
|Total Carbohydrate   (Complex carbohydrates, Dextrose, Sucrose)  |,total carbohydrate
Sugars   ,sugars
|Total Carbohydrate   (Complex carbohydrates, Dextrose, Sucrose)  |,total carbohydrate
Sugars   ,sugars
|Total Carbohydrate   (Complex carbohydrates, Dextrose, Sucrose)  |,total carbohydrate
Sugars   ,sugars
Total Carbohydrate  (100% from dextrose)  ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate  (100% from dextrose)  ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate  (100% from dextrose)  ,total carbohydrate
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Total Carbohydrate   ,total carbohydrate
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Total Carbohydrates   ,total carbohydrates
Total Carbohydrates   ,total carbohydrates
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugar   ,sugar
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
Total Carbohydrate   ,total carbohydrate
Sugars   ,sugars
Total Carbohydrates   ,total carbohydrates
Sugars   ,sugars
