Original Name,Processed Name
Protease   ,protease
Amylase   ,amylase
Lipase   ,lipase
Cellulase   ,cellulase
Nattokinase   ,nattokinase
Bromelain   ,bromelain
Amylase   ,amylase
Protease   ,protease
Lipase   ,lipase
Cellulase   ,cellulase
Papain   ,papain
Protease   ,protease
Amylase   ,amylase
Lipase   ,lipase
Cellulase   ,cellulase
Bromelain   ,bromelain
Bromelain   ,bromelain
Protease   ,protease
Amylase   ,amylase
Lipase   ,lipase
Cellulase   ,cellulase
Amylase   ,amylase
Lipase   ,lipase
Cellulase   ,cellulase
Lipase   ,lipase
Bromelain   ,bromelain
acid stable Protease   ,acid stable protease
Peptidase   ,peptidase
Phytase   ,phytase
Alpha Galactosidase   ,alpha galactosidase
Protease   (aspergillus oryca (aspergillus oryca))  ,protease
Cellulase   ,cellulase
Amylase   ,amylase
Amylase   ,amylase
Lipase   ,lipase
Cellulase   ,cellulase
Amylase   ,amylase
Amylase II   ,amylase ii
Peptidase   ,peptidase
Lipase   ,lipase
Cellulase   ,cellulase
Lactase   ,lactase
Invertase   ,invertase
Bromelain   ,bromelain
Amylase   ,amylase
Amylase II   ,amylase ii
Peptidase   ,peptidase
Lipase   ,lipase
Cellulase   ,cellulase
Lactase   ,lactase
Invertase   ,invertase
Bromelain   ,bromelain
Amylase I   ,amylase i
Amylase II   ,amylase ii
Peptidase   ,peptidase
Peptizyme-SP(R)   ,peptizyme-sp
Lipase   ,lipase
Cellulase   ,cellulase
Lactase   ,lactase
Invertase   ,invertase
Bromelain   ,bromelain
Proprietary enzyme blend   <p class='indent01b' data-ingid='30512'>pHysioProtease(TM);</p><p class='indent01b' data-ingid='15851'>Catalase;</p>,proprietary enzyme physioprotease catalase
Proprietary enzyme blend   <p class='indent01b' data-ingid='3649'>Amylase;</p><p class='indent01b' data-ingid='30530'>Alpha-Galactosidase;</p><p class='indent01b' data-ingid='30531'>Protease blend;</p><p class='indent01b' data-ingid='30532'>CereCalase Plus(TM);</p><p class='indent01b' data-ingid='5395'>Glucoamylase;</p><p class='indent01b' data-ingid='30533'>Malt Diastase;</p><p class='indent01b' data-ingid='8580'>Peptidase;</p><p class='indent01b' data-ingid='4631'>Lipase;</p><p class='indent01b' data-ingid='7534'>Pectinase;</p><p class='indent01b' data-ingid='16626'>Invertase;</p><p class='indent01b' data-ingid='4461'>Cellulase;</p><p class='indent01b' data-ingid='16904'>Lactase;</p><p class='indent01b' data-ingid='22069'>Xylanase;</p>,proprietary enzyme amylase alpha-galactosidase protease cerecalase plus glucoamylase malt diastase peptidase lipase pectinase invertase cellulase lactase xylanase
Proprietary enzyme blend   <p class='indent01b' data-ingid='16904'>Lactase;</p><p class='indent01b' data-ingid='8580'>Peptidase;</p><p class='indent01b' data-ingid='17615'>Protease;</p><p class='indent01b' data-ingid='16626'>Invertase;</p><p class='indent01b' data-ingid='4631'>Lipase;</p>,proprietary enzyme lactase peptidase protease invertase lipase
Proprietary enzyme blend   <p class='indent01b' data-ingid='3649'>Amylase;</p><p class='indent01b' data-ingid='4631'>Lipase;</p><p class='indent01b' data-ingid='30531'>Protease blend;</p><p class='indent01b' data-ingid='30532'>CereCalase Plus(TM);</p><p class='indent01b' data-ingid='8580'>Peptidase;</p><p class='indent01b' data-ingid='5395'>Glucoamylase;</p><p class='indent01b' data-ingid='30533'>Malt Diastase;</p><p class='indent01b' data-ingid='30530'>Alpha-Galactosidase;</p><p class='indent01b' data-ingid='16626'>Invertase;</p><p class='indent01b' data-ingid='16904'>Lactase;</p><p class='indent01b' data-ingid='7534'>Pectinase;</p><p class='indent01b' data-ingid='4461'>Cellulase;</p>,proprietary enzyme amylase lipase protease cerecalase plus peptidase glucoamylase malt diastase alpha-galactosidase invertase lactase pectinase cellulase
Proprietary enzyme blend   <p class='indent01b' data-ingid='3649'>Amylase;</p><p class='indent01b' data-ingid='4631'>Lipase;</p><p class='indent01b' data-ingid='30531'>Protease blend;</p><p class='indent01b' data-ingid='8580'>Peptidase;</p><p class='indent01b' data-ingid='5395'>Glucoamylase;</p><p class='indent01b' data-ingid='30533'>Malt Diastase;</p><p class='indent01b' data-ingid='30530'>Alpha-Galactosidase;</p><p class='indent01b' data-ingid='16200'>Hemicellulase;</p><p class='indent01b' data-ingid='36499'>Beta-Glucanase;</p><p class='indent01b' data-ingid='16626'>Invertase;</p><p class='indent01b' data-ingid='16904'>Lactase;</p><p class='indent01b' data-ingid='7534'>Pectinase;</p><p class='indent01b' data-ingid='5425'>Phytase;</p><p class='indent01b' data-ingid='4461'>Cellulase;</p>,proprietary enzyme amylase lipase protease peptidase glucoamylase malt diastase alpha-galactosidase hemicellulase beta-glucanase invertase lactase pectinase phytase cellulase
Proprietary enzyme blend   <p class='indent01b' data-ingid='4631'>Lipase;</p><p class='indent01b' data-ingid='3649'>Amylase;</p><p class='indent01b' data-ingid='8580'>Peptidase;</p><p class='indent01b' data-ingid='15851'>Catalase;</p><p class='indent01b' data-ingid='30532'>CereCalase Plus(TM);</p><p class='indent01b' data-ingid='5395'>Glucoamylase;</p><p class='indent01b' data-ingid='17470'>Papain;</p><p class='indent01b' data-ingid='30533'>Malt Diastase;</p><p class='indent01b' data-ingid='4461'>Cellulase;</p><p class='indent01b' data-ingid='7534'>Pectinase;</p><p class='indent01b' data-ingid='30530'>Alpha-Galactosidase;</p><p class='indent01b' data-ingid='16626'>Invertase;</p><p class='indent01b' data-ingid='16904'>Lactase;</p>,proprietary enzyme lipase amylase peptidase catalase cerecalase plus glucoamylase papain malt diastase cellulase pectinase alpha-galactosidase invertase lactase
Proprietary enzyme blend   <p class='indent01b' data-ingid='30512'>pHysioProtease(TM);</p>,proprietary enzyme physioprotease
Proprietary enzyme blend   <p class='indent01b' data-ingid='30512'>pHysioProtease(TM);</p><p class='indent01b' data-ingid='5260'>Bromelain;</p>,proprietary enzyme physioprotease bromelain
Proprietary enzyme blend   <p class='indent01b' data-ingid='30512'>pHysioProtease(TM);</p><p class='indent01b' data-ingid='5260'>Bromelain;</p>,proprietary enzyme physioprotease bromelain
Proprietary Enzyme Blend   <p class='indent01b' data-ingid='4631'>Lipase;</p><p class='indent01b' data-ingid='30512'>pHysioProtease(TM);</p>,proprietary enzyme lipase physioprotease
FOS  (Fructooligosaccharides)   ,fos
Protease  ((SmartZYME blend)({pH Range} 3.0 - 9.0))  ,protease
Amylase  ({pH Range} 4.0 - 6.0)  ,amylase
Lipase  ({pH Range} 4.0 - 7.0)  ,lipase
Lactase  ({pH Range} 3.5 - 5.5)  ,lactase
Cellulase  ({pH Range} 4.5 - 6.5)  ,cellulase
Invertase  ((Sucrase) ({pH Range} 2.5 - 5.5))  ,invertase
Pectinase w/Phytase  ({pH Range} 3.0 - 6.0)  ,pectinase w/phytase
|Bromelain  (2400 gdu/gm, 3600 mcu/gm)  |,bromelain
Protease  (SmartZYME)  ,protease
Amylase  (SmartZYME)  ,amylase
|Lipase  ((SmartZYME) (= 18,750 LU))  |,lipase
Cellulase  (SmartZYME)  ,cellulase
Invertase  (= 80 INVU)  ,invertase
Glucoamylase   ,glucoamylase
Alpha Galactosidase   ,alpha galactosidase
Beta Glucanase   ,beta glucanase
Phytase   ,phytase
Cellulase   ,cellulase
Lactase enzyme  (700FOC units)  ,lactase enzyme
Amylase   ,amylase
Glucoamylase   ,glucoamylase
Bromelain   ,bromelain
Pancreatin  (8X USP)  ,pancreatin
Amylase   ,amylase
Protease   ,protease
Lipase   ,lipase
Pepsin  (10M X)  ,pepsin
Chymotrypsin  (1000 USP/mg)  ,chymotrypsin
Nattokinase NSK-SD(R)  (100 mg)  (Soy)  ,nattokinase nsk-sd
Nattokinase NSK-SD(R)  (100 mg)  (Soy)  ,nattokinase nsk-sd
Nattokinase NSK-SD(R)  (72 mg)  ,nattokinase nsk-sd
Nattokinase NSK-SD(R)  (72 mg)  ,nattokinase nsk-sd
Nattokinase NSK-SD(R)  (100 mg)  (Soy)  ,nattokinase nsk-sd
Nattokinase NSK-SD(R)  (100 mg)  (Soy)  ,nattokinase nsk-sd
Phosphatidylserine   (Soy)  ,phosphatidylserine
Bromelain   ,bromelain
Proprietary Enzyme Blend   ,proprietary enzyme
Bromelain   ,bromelain
Amylase   ,amylase
Lactobacillus acidophilus  (Lactobacillus acidophilus) (CFU = colony forming units)  ,lactobacillus acidophilus
Bifidobacterium longum  (Bifidobacterium longum) (CFU = colony forming units)  ,bifidobacterium longum
Lipase   ,lipase
Cellulase   ,cellulase
Bromelain   ,bromelain
Proprietary Enzyme Blend   ,proprietary enzyme
Papain   ,papain
Lipase   ,lipase
Bromelain   ,bromelain
Amylase   ,amylase
Protease   ,protease
Phytase   ,phytase
Amylase   ,amylase
Lipase   ,lipase
Protease   ,protease
Peptidase   ,peptidase
Glucoamylase   ,glucoamylase
Invertase   ,invertase
Beta Glucanase   ,beta glucanase
Phytase   ,phytase
Cellulase   ,cellulase
Proprietary Enzyme Blend   ,proprietary enzyme
Bromelain   ,bromelain
ENZYMES   ,enzymes
Bromelain   (Pineapple)  ,bromelain
Amylase   ,amylase
Lipase   ,lipase
Cellulase   ,cellulase
Papain   ,papain
Bromelain   ,bromelain
Amylase   ,amylase
Lipase   ,lipase
Protease/Peptidase pH 3-9   ,protease/peptidase ph 3-9
Glucoamylase   ,glucoamylase
Invertase   ,invertase
Alpha-Galactosidase   ,alpha-galactosidase
Cellulase   ,cellulase
ENZYMES   ,enzymes
Bromelain   (Pineapple)  ,bromelain
|Pepsin 1:10,000   |,pepsin
Cellulase   ,cellulase
Peptic   ,peptic
Papain   ,papain
Diastatic   ,diastatic
Lypolytic   ,lypolytic
|Digestive Enzyme and Active Culture Probiotic Blend   (L. acidophilus (L. acidophilus), Alpha {Amylase}, and Beta Amylase, Protease, Lipase, Lactase, Cellulase)  |,digestive enzyme active culture probiotic
Protease   ,protease
Lipase   ,lipase
Lactase   ,lactase
Cellulase   ,cellulase
Protease   ,protease
Lipase   ,lipase
Lactase   ,lactase
Cellulase   ,cellulase
Protease   ,protease
Lipase   ,lipase
Lactase   ,lactase
Cellulase   ,cellulase
Protease   ,protease
Lipase   ,lipase
Lactase   ,lactase
Cellulase   ,cellulase
Protease   (Aspergillus oryzae (Aspergillus oryzae))  ,protease
Amylase   (Aspergillus oryzae (Aspergillus oryzae))  ,amylase
Lipase   (Aspergillus niger (Aspergillus niger))  ,lipase
Lactase   (Aspergillus oryzae (Aspergillus oryzae))  ,lactase
Cellulase   (Trichoderma reesei (Trichoderma reesei))  ,cellulase
Protease   (Aspergillus oryzae (Aspergillus oryzae))  ,protease
Amylase   (Aspergillus oryzae (Aspergillus oryzae))  ,amylase
Lipase   (Aspergillus niger (Aspergillus niger))  ,lipase
Lactase   (from Aspergillus oryzae (Aspergillus oryzae))  ,lactase
Cellulase   (Trichoderma reesei (Trichoderma reesei))  ,cellulase
Protease   (Aspergillus oryzae (Aspergillus oryzae))  ,protease
Amylase   (Aspergillus oryzae (Aspergillus oryzae))  ,amylase
Lipase   (Aspergillus niger (Aspergillus niger))  ,lipase
Lactase   (from Aspergillus oryzae (Aspergillus oryzae))  ,lactase
Cellulase   (Trichoderma reesei (Trichoderma reesei))  ,cellulase
Protease   (Aspergillus oryzae (Aspergillus oryzae))  ,protease
Amylase   (Aspergillus oryzae (Aspergillus oryzae))  ,amylase
Lipase   (Aspergillus niger (Aspergillus niger))  ,lipase
Lactase   (from Aspergillus oryzae (Aspergillus oryzae))  ,lactase
Cellulase   (Trichoderma reesei (Trichoderma reesei))  ,cellulase
