Original Name,Processed Name
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Cholesterol   ,cholesterol
Total Fat  ((g))  ,total fat
Saturated Fat  ((g))  ,saturated fat
Total Fat   ,total fat
Polyunsaturated Fat   ,polyunsaturated fat
Total Fat   ,total fat
Total Fat   ,total fat
Polyunsaturated Fat   ,polyunsaturated fat
Cholesterol   ,cholesterol
Borage Seed Oil  (Seed)  ,borage oil
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Trans Fat   ,trans fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Total Fat   ,total fat
Total Fat   ,total fat
Fat   ,fat
Fat   ,fat
Total Fat   ,total fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Cholesterol   ,cholesterol
Lecithin   ,lecithin
Lecithin   ,lecithin
Total Fat   ,total fat
Polyunsaturated Fat   ,polyunsaturated fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Polyunsaturated Fat   ,polyunsaturated fat
Cholesterol   ,cholesterol
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Polyunsaturated Fat   ,polyunsaturated fat
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Polyunsaturated Fat   ,polyunsaturated fat
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Polyunsaturated Fat   ,polyunsaturated fat
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Polyunsaturated Fat   ,polyunsaturated fat
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Polyunsaturated Fat   ,polyunsaturated fat
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Cholesterol   ,cholesterol
Borage Oil   ,borage oil
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Cholesterol   ,cholesterol
Borage Oil   ,borage oil
Total Fat   ,total fat
Saturated Fat   ,saturated fat
Total Fat   ,total fat
Flaxseed Oil  (containing not less than:)  ,flaxseed oil
Total Fat   ,total fat
