Original Name,Processed Name
Alpha-Linolenic Acid  (Omega-3)  ,alpha-linolenic acid
Linolenic Acid  (Omega-6)  ,linolenic acid
Oleic Acid  (Omega-9)   ,oleic acid
other Fatty Acids   ,other fatty acids
Fish Oil   ,fish oil
18% EPA  (Eicosapentaenoic Acid)   ,epa
12% DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil   ,fish oil
Alpha Linolenic Acid  (ALA)   ,alpha linolenic acid
Eicosapentaenoic acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Linoleic Acid   ,linoleic acid
Gamma Linolenic Acid  (GLA)   ,gamma linolenic acid
Omega-9 Fatty Acids  (Oleic Acid)   ,omega-9 fatty acids
Fish Oil   ,fish oil
EPA   ,epa
DHA   ,dha
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil   ,fish oil
total Omega-3 Fatty Acids   ,total omega-3 fatty acids
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
other Fatty Acids   ,other fatty acids
DHA  (Docosahexaenoic Acid)   (from Algal Oil)  ,dha
DHA  (Docosahexaenoic Acid)   (from Algal Oil)  ,dha
DHA  (Docosahexaenoic Acid)   (from Algal Oil)  ,dha
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil  (omega-3)  ,fish oil
Eicosapentaenoic Acid   ,eicosapentaenoic acid
Docosahexaenoic Acid   ,docosahexaenoic acid
Alpha Linolenic Acid  (Omega-3)  ,alpha linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Gamma Linolenic Acid  (Omega-6)  ,gamma linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Fish Oil  (omega-3)  ,fish oil
Eicosapentaenoic Acid   ,eicosapentaenoic acid
Docosahexaenoic Acid   ,docosahexaenoic acid
Alpha Linolenic Acid  (Omega-3)  ,alpha linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Gamma Linolenic Acid  (Omega-6)  ,gamma linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Total Omega-3 Fatty Acids   ,total omega-3 fatty acids
Alpha-Linolenic Acid  ((omega-3) (500 mg - 550 mg))  ,alpha-linolenic acid
Linoleic Acid  ((omega-6 ) (123 mg - 182 mg))  ,linoleic acid
Alpha-Linolenic Acid  ((omega-3) (500 mg - 550 mg))  ,alpha-linolenic acid
Linoleic Acid  ((omega-6 ) (123 mg - 182 mg))  ,linoleic acid
Alpha Linolenic Acid  (Omega-3)  ,alpha linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Oleic Acid  (Omega-9)   ,oleic acid
Alpha-Linolenic Acid  (Omega-3)  ,alpha-linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Oleic Acid  (Omega-9)   ,oleic acid
Fish Oil   ,fish oil
DHA  (Docosahexaenoic Acid)   ,dha
EPA  (Eicosapentaenoic Acid)   ,epa
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil Concentrate   ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
total Omega-3 Fatty Acids   ,total omega-3 fatty acids
DHA  (Docosahexaenoic Acid)   (from Schizochytrium sp. oil (Schizochytrium sp.))  ,dha
DHA  (Docosahexaenoic Acid)   (from Algal Oil)  ,dha
total Omega Oil   (as Chia Oil)  ,total omega oil
Omega-3   (as Alpha Linolenic Acid)  ,omega-3
Omega-6   (as Linoleic Acid)  ,omega-6
Omega-9   (as Oleic Acid)  ,omega-9
DHA   (as life'sDHA(TM))  ,dha
total Omega Oil   (as Chia Oil)  ,total omega oil
Omega-3   (as Alpha Linolenic Acid)  ,omega-3
Omega-6   (as Linoleic Acid)  ,omega-6
Omega-9   (as Oleic Acid)  ,omega-9
DHA   (as life’sDHA(TM))  ,dha
total Omega Oil   (as Chia Oil)  ,total omega oil
Omega-3   (as Alpha Linolenic Acid)  ,omega-3
Omega-6   (as Linoleic Acid)  ,omega-6
Omega-9   (as Oleic Acid)  ,omega-9
DHA   (as life’sDHA(TM))  ,dha
Omega-3   (Alpha-Linolenic Acid (ALA) )  ,omega-3
Omega-6   (linoleic acid (LA) )  ,omega-6
Omega-9   (oleic acid (OA) )  ,omega-9
Fish Oil   ,fish oil
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
CLA  (Conjugated Linoleic Acid)   ,cla
CLA  (Conjugated Linoleic Acid)   ,cla
CLA  (Conjugated Linoleic Acid)   ,cla
CLA  (Conjugated Linoleic Acid)   ,cla
Sunflower Oil   ,sunflower oil
CLA  (Conjugated Linoleic Acid)   ,cla
Essential Fatty Acids   (as fish oil)  ,essential fatty acids
EPA   ,epa
DHA   ,dha
Marine Fish oil  (supplying Omega-3 Fatty Acids)  (as natural Triglycerides)  ,marine fish oil
Omega-3 Fatty Acids   (as natural Triglycerides)  ,omega-3 fatty acids
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
other Omega-3 Fatty Acids   ,other omega-3 fatty acids
Krill Oil  (Euphausia superba)  ,krill oil
Omega 3 Fatty Acids   ,omega fatty acids
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
DHA  (Docosahexaenoic Acid)   (from Fish Oil concentrate)  ,dha
Cetyl Myristoleate   (20.0% CMO)  ,cetyl myristoleate
Conjugated Linoleic Acid   ,conjugated linoleic acid
Oleic Acid   ,oleic acid
Palmitic Acid   ,palmitic acid
Stearic Acid   ,stearic acid
Linoleic Acid   ,linoleic acid
Docosahexaenoic Acid  (DHA)   (from Omega-3 Fatty Acids)  ,docosahexaenoic acid
Docosahexaenoic Acid  (DHA)   (from Omega-3 Fatty Acids)  ,docosahexaenoic acid
Omega-3   ,omega-3
Omega-6   ,omega-6
Omega-3   ,omega-3
Omega-6   ,omega-6
Omega-3   ,omega-3
Omega-6   ,omega-6
Omega-3   (from Fish Oil)  ,omega-3
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Omega-3   (from Fish Oil)  ,omega-3
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Fish Oil  (contains)  ,fish oil
eicosapentaenoic acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
linoleic acid  (LA)   ,linoleic acid
gamma linolenic acid  (GLA)   ,gamma linolenic acid
linoleic acid  (LA)   ,linoleic acid
gamma linolenic acid  (GLA)   ,gamma linolenic acid
MCT Oil   ,mct oil
Fish Oil  (contains)  ,fish oil
eicosapentaenoic acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
linoleic acid  (LA)   ,linoleic acid
gamma linolenic acid  (GLA)   ,gamma linolenic acid
linoleic acid  (LA)   ,linoleic acid
gamma linolenic acid  (GLA)   ,gamma linolenic acid
MCT Oil   ,mct oil
|Fish Oil   (from pilchard, sardine, and anchovy)  |,fish oil
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Fish Oil   (natural triglyceride form)  ,fish oil
EPA   ,epa
DHA   ,dha
ALA   ,ala
DHA  (Docosahexaenoic Acid)   ,dha
total Omega-3 long chain Fatty Acids   ,total omega-3 long chain fatty acids
as Docosahexaenoic Acid  (DHA)   ,as docosahexaenoic acid
as {Alpha}-Linolenic Acid  (ALA)   ,as alpha -linolenic acid
as Docosapentaenoic Acid  (DPA)   ,as docosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
EPA   ,epa
EPA   ,epa
EPA   ,epa
Total Omega-3 Fatty Acids   (as ethyl esters)  ,total omega-3 fatty acids
EPA   ,epa
DHA   ,dha
Total Omega-3 Fatty Acids   (as ethyl esters)  ,total omega-3 fatty acids
EPA   ,epa
DHA   ,dha
Total Omega-3 Fatty Acids   (as {Omega-3 Fatty Acids} Ethyl Ester)  ,total omega-3 fatty acids
EPA   ,epa
DHA   ,dha
Total Omega-3 Fatty Acids   (as {Omega-3 Fatty Acids} Ethyl Ester)  ,total omega-3 fatty acids
EPA   ,epa
DHA   ,dha
Fish Oil  (Typically Contains)  ,fish oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Krill Oil   ,krill oil
EPA  (Eicosapentaenoic Acid)   ,epa
DHA  (Docosahexaenoic Acid)   ,dha
Omega-6   ,omega-6
Omega-9   ,omega-9
other Omega-3 Fatty Acids   ,other omega-3 fatty acids
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Gamma-Linolenic Acid   ({omega} 6)  ,gamma-linolenic acid
Linoleic Acid   ({omega} 6)  ,linoleic acid
Oleic Acid   ,oleic acid
Alpha-Linolenic Acid  (omega-3)  ,alpha-linolenic acid
Linoleic Acid  (Omega-6)  ,linoleic acid
Alpha-Linolenic Acid   ({omega}3)  ,alpha-linolenic acid
Linoleic Acid   ({omega}6)  ,linoleic acid
Oleic Acid   ({omega}9)  ,oleic acid
Omega-3 Fatty Acids   ,omega-3 fatty acids
Omega-6 Fatty Acids   ,omega-6 fatty acids
Omega-9 Fatty Acids   ,omega-9 fatty acids
Gamma-Linolenic Acid   ({omega}-6)  ,gamma-linolenic acid
Linoleic Acid   ({omega}-6)  ,linoleic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Palmitic Acid   ,palmitic acid
Stearic Acid   ,stearic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Fish Oil   ,fish oil
provides 600 mg of total Omega-3 Fatty Acids  (comprised of:)  (as Ethyl Esters)  ,provides of total omega-3 fatty acids
EPA  (eicosapentaenoic acid)  (26.5%-30%)  ,epa
DHA  (Docosahexaenoic Acid)  (17-20%)  ,dha
other Fatty Acids   ,other fatty acids
Alpha Linolenic Acid  (ALA)  ((Omega-3) (45-58%))  ,alpha linolenic acid
Linoleic Acid  ((Omega-6) (11-18%))  ,linoleic acid
Oleic Acid  (Omega-9)  (11-19%)  ,oleic acid
Linolenic Acid  ((Omega-3) (35-42%))  ,linolenic acid
Gamma Linoleic Acid  (GLA)  ((Omega-6) (19%))  ,gamma linoleic acid
Oleic Acid  (Omega-9)  (14-20%)  ,oleic acid
Total Omega-3 Fatty Acids   ,total omega-3 fatty acids
Eicosapentaenoic Acid  (EPA)   ,eicosapentaenoic acid
Docosahexaenoic Acid  (DHA)   ,docosahexaenoic acid
Oleic   ,oleic
Linolinic   ,linolinic
Fish Oil   ,fish oil
Omega-3 Eicosapentaenoic Acid  (EPA)  (30-33%)  ,omega-3 eicosapentaenoic acid
Omega-3 Docosahexaenoic Acid  (DHA)  (20-22%)  ,omega-3 docosahexaenoic acid
Omega-6 Linoleic Acid  (33-46%)  ,omega-6 linoleic acid
Omega-6 Gamma Linolenic Acid  (GLA)   ,omega-6 gamma linolenic acid
Omega-9 Oleic Acid  (10-24.5%)  ,omega-9 oleic acid
