Original Name,Processed Name
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Apple Pectin Cellulose powder   ,apple pectin cellulose
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Soluble Fiber   ,soluble fiber
Dietary Fiber   ,dietary fiber
Soluble Fiber   ,soluble fiber
Dietary Fiber   ,dietary fiber
Dietary fiber   ,dietary fiber
Dietary fiber   ,dietary fiber
Dietary fiber   ,dietary fiber
Dietary fiber   ,dietary fiber
Guar Gum   ,guar gum
Dietary fiber   ,dietary fiber
Guar Gum   ,guar gum
Dietary fiber   ,dietary fiber
Guar Gum   ,guar gum
Dietary fiber   ,dietary fiber
Guar Gum   ,guar gum
Dietary fiber   ,dietary fiber
Guar Gum   ,guar gum
Apple Pectin   ,apple pectin
Inulin   ,inulin
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Soluble Fiber   ,soluble fiber
Insoluble Fiber   ,insoluble fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Soluble Fiber   ,soluble fiber
Insoluble Fiber   ,insoluble fiber
Dietary Fiber   ,dietary fiber
Soluble Fiber   ,soluble fiber
Insoluble Fiber   ,insoluble fiber
Dietary Fiber   ,dietary fiber
Soluble Fiber   ,soluble fiber
Insoluble Fiber   ,insoluble fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Fiber   ,fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Fiber   ,fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
Dietary Fiber   ,dietary fiber
