Original Name,Processed Name
Calories   ,calories
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
|Proprietary Blend   (Alfalfa (Leaf) Powder (Leaf), Soy Lecithin (99% Oil Free), Carrot Juice Powder, Spirulina Powder, Organic Barley Grass (Ariel) Juice Powder (Ariel), Aloe Vera (Leaf) Powder (Leaf), Yucca (Root) Juice Powder (Root), Rose Hips (Fruit) Powder (Fruit), Acerola (Fruit) Extract (Fruit), Parsley (Leaf) Juice Powder (Leaf), Red Raspberry (Leaf) Powder (Leaf), Ginger (Root) Powder (Root), Watercress Powder, Apple Fiber Powder, Apple Pectin Cellulose powder, Chlorella (Cracked Cell), Horsetail (Herb) Powder (Herb), Organic Beet Juice (Root) Powder (Root), organic Flax seed powder (seed), Spinach (Leaf) Juice Powder (Leaf), Protease, Cellulase, Amylase, Lipase, Citrus Bioflavonoids, Astragalus (Root) Powder (Root), Damiana (Leaf) Powder (Leaf), Eleuthero (Root) Extract (Root), Milk Thistle (Seed) Extract (Seed), Suma (Root) Powder (Root), Royal Jelly, Licorice (Root) Powder (Root), Cactus (Leaf) Powder (Leaf), Dulse Powder, Echinacea angustifolia (root) extract (Echinacea angustifolia) (Root), Grape (Seed) Extract (Seed), Green Tea (Leaf) Extract (Leaf), Ginkgo Biloba (Leaf) Extract (Leaf), Stevia)  |,proprietary
Calories   ,calories
Echinacea Blend   ,echinacea
Total Calories   ,total calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
|Proprietary Blend   (Carrot, Barley Grass, Oat Beta Glucan, Wheat Grass, Pineapple Powder, Banana Powder, Apple Powder, Spirulina, Flaxseed, Acerola, Alfalfa, Colostrum, Soy Lecithin, Fruit Punch Flavoring, Barley Malt, Chlorella (Chlorella), Orange Powder, Mixed Tocopherols 30%, Raspberry Powder, Strawberry powder, Lemon Peel, Red Wine Extract, Rosehips, Stevia, Citrus Bioflavonoids, Milk Thistle, Green Tea Extract 60%, Grape Seed Extract 95% (Seed), Beet powder, Cinnamon Powder, Purple Dulse, Fruit & Vegetable Blend)  |,proprietary
Calories   ,calories
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
|Proprietary Blend   (Fructooligosaccharides, Oat Bran (Avena sativa), Fibersol-2(TM), Toasted Amaranth Flour, Psyllium Husk (Plantago ovata) (seed husk), Apple Pectin (Malus domestica) (fruit), Brown Rice, Flaxseed, Spirulina, Lecithin, Millet, L-Taurine, N-Acetyl Cysteine (NAC) , Cinnamon (Cinnamomum cassia) (bark), Alpha Lipoic Acid, Licorice Root Powder (Glycyrrhiza glabra) (Root), L-Arginine, Quercetin, L-Glutamine, L-Carnitine, Gymnema Sylvestre extract (Gymnema Sylvestre), Bromelain, L-Lysine HCl, Barley Grass Powder (hordeum vulgare L.), Horsetail (Shavegrass)  (equisetum arvense), Wheat Germ Powder, Broccoli (brassica olerances), Carrot Powder (daucus carota L.), Papaya Fruit Powder (Carica papaya), Octacosanol, Acerola Cherry, Hawthorne Berry extract (crataegus pinnatifida) (Berry)  (10:1), L-Ornithine (HCl), Guggulipid (commiphora mukul), Lipase, Policosanol, Coenzyme Q10, L-Proline, Malic Acid, Gamma Oryzanol, L-Glycine, Pine bark extract (bark), Milk Thistle Extract (Silybum marianum), Nattokinase, Vanadyl Sulfate)  |,proprietary
Calories   ,calories
Calories   ,calories
L-Glutathione   ,l-glutathione
Calories   ,calories
Calories from Fat   ,calories from fat
|Proprietary Blend   (Alfalfa (Leaf) Powder (Leaf), Soy Lecithin (99% Oil Free), Carrot Juice Powder, Spirulina Powder, Organic Barley Grass (Ariel) Juice Powder (Ariel), Aloe Vera (Leaf) Powder (Leaf), Yucca (Root) Juice Powder (Root), Rose Hips (Fruit) Powder (Fruit), Acerola (Fruit) Extract (Fruit), Parsley (Leaf) Juice Powder (Leaf), Red Raspberry (Leaf) Powder (Leaf), Ginger (Root) Powder (Root), Watercress Powder, Apple Fiber Powder, Apple Pectin Cellulose powder, Chlorella (Cracked Cell), Horsetail (Herb) Powder (Herb), Organic Beet Juice (Root) Powder (Root), organic Flax seed powder (seed), Spinach (Leaf) Juice Powder (Leaf), Protease, Cellulase, Amylase, Lipase, Citrus Bioflavonoids, Astragalus (Root) Powder (Root), Damiana (Leaf) Powder (Leaf), Eleuthero (Root) Extract (Root), Milk Thistle (Seed) Extract (Seed), Suma (Root) Powder (Root), Royal Jelly, Licorice (Root) Powder (Root), Cactus (Leaf) Powder (Leaf), Dulse Powder, Echinacea angustifolia (root) extract (Echinacea angustifolia) (Root), Grape (Seed) Extract (Seed), Green Tea (Leaf) Extract (Leaf), Ginkgo Biloba (Leaf) Extract (Leaf), Stevia)  |,proprietary
Calories   ,calories
|Proprietary Blend   (Organic Barley Grass Leaf (Leaf), Organic Alfalfa (Leaf), organic Beet (root), Organic Spinach Leaf (Leaf), organic Chlorella (Chlorella))  |,proprietary
Calories   ,calories
L-Glutathione   ,l-glutathione
