Original Name,Processed Name
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin A   (as natural beta-carotene)  ,vitamin a
Vitamin C   (as Magnesium Ascorbate)  ,vitamin c
Vitamin D   (as Cholecalciferol)  ,vitamin d
Vitamin E   (as D-Alpha Tocopheryl Succinate)  ,vitamin e
Vitamin K  (Phytonadione)   ,vitamin k
Thiamin   (as Thiamine Mononitrate)  ,thiamin
Riboflavin   ,riboflavin
Niacin   (as Niacinamide)  ,niacin
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Biotin   ,biotin
Pantothenic Acid   (as D-Calcium Pantothenate)  ,pantothenic acid
Choline   (as Choline Bitartrate)  ,choline
Inositol   ,inositol
Vitamin C  (ascorbic acid)  (natural)  ,vitamin c
Vitamin E   (Mixed Tocopherols)  ,vitamin e
Vitamin C  (Ascorbic Acid)  (Natural)  ,vitamin c
Vitamin E   (Mixed Tocopherols)  ,vitamin e
Vitamin D3  (Cholecalciferol )   ,vitamin d3
Vitamin D   (as Cholecalciferol)  ,vitamin d
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin D3  (Cholecalciferol )   ,vitamin d3
Vitamin K  (Phytonadione)   ,vitamin k
Thiamin   (as Thiamine HCl)  ,thiamin
Vitamin A   (as Beta Carotene)  ,vitamin a
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin E   (as D-Alpha Tocopheryl Acetate)  ,vitamin e
Thiamin   (as Thiamine HCl)  ,thiamin
Riboflavin   ,riboflavin
Niacin   (as Niacinamide)  ,niacin
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Biotin   ,biotin
Pantothenic Acid   (as D-Calcium Pantothenate)  ,pantothenic acid
Choline   (as Choline Bitartrate)  ,choline
Inositol   ,inositol
Vitamin A   (as Beta Carotene)  ,vitamin a
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin E   (as D-Alpha Tocopheryl Acetate)  ,vitamin e
Thiamin   (as Thiamine HCl)  ,thiamin
Riboflavin   ,riboflavin
Niacin   (as Niacinamide)  ,niacin
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Biotin   ,biotin
Pantothenic Acid   (as D-Calcium Pantothenate)  ,pantothenic acid
Choline   (as Choline Bitartrate)  ,choline
Inositol   ,inositol
Vitamin A   (as Beta-Carotene)  ,vitamin a
Vitamin D3  (Cholecalciferol)   ,vitamin d3
Vitamin E   (as D-Alpha Tocopherol Succinate)  ,vitamin e
Vitamin K  (Phytonadione)   ,vitamin k
Thiamine   (as Thiamine HCl)  ,thiamine
Riboflavin   ,riboflavin
Niacin   (as Niacinamide)  ,niacin
Vitamin B6   (as Pyridoxine HCl)  ,vitamin b6
Folic Acid   ,folic acid
Vitamin B12   (as Methylcobalamin)  ,vitamin b12
Biotin   ,biotin
Vitamin E   (as D-Alpha Tocopherol)  ,vitamin e
Vitamin D3  (Cholecalciferol )   ,vitamin d3
|Vitamin E   (as natural D-Alpha Tocopherol, with d-beta {tocopherols}, d-gamma {tocopherols}, d-delta tocopherols)  |,vitamin e
Vitamin E   (as d-Alpha Tocopherol)  ,vitamin e
Vitamin D3  (Cholecalciferol)   ,vitamin d3
Vitamin B6   (as Pyridoxine HCl)  ,vitamin b6
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Folic Acid   ,folic acid
Vitamin A   (Beta Carotene)  ,vitamin a
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin E   (d-alpha tocopheryl acetate)  ,vitamin e
Vitamin B1   (Thiamine Mononitrate)  ,vitamin b1
Vitamin B2  (riboflavin)   ,vitamin b2
Niacin   (Niacinamide)  ,niacin
Vitamin B6   (Pyridoxine HCl)  ,vitamin b6
Folic Acid   ,folic acid
Biotin   ,biotin
|Vitamin B5   (D-Calcium Pantothenate, Pantethine)  |,vitamin b5
Vitamin C  (Ascorbic Acid)   ,vitamin c
Thiamine   (as Thiamine HCl)  ,thiamine
Riboflavin   (as Riboflavin-5-Phosphate Sodium)  ,riboflavin
Niacin   ,niacin
Vitamin B6   (as Pyridoxine HCl)  ,vitamin b6
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Niacin   ,niacin
Folic Acid   ,folic acid
Biotin   ,biotin
Niacin   (as Niacinamide)  ,niacin
Biotin   ,biotin
Niacin   (as Niacinamide)  ,niacin
Vitamin B6   (as Pyridoxine Hydrochloride)  ,vitamin b6
Niacin   (as Niacinamide)  ,niacin
Vitamin B6   (as Pyridoxine Hydrochloride)  ,vitamin b6
Vitamin C  (Ascorbic Acid)   ,vitamin c
Thiamin   (as Thiamine HCl)  ,thiamin
Riboflavin   ,riboflavin
Niacin   (as Niacinamide)  ,niacin
Vitamin B6   (as Pyridoxine HCl)  ,vitamin b6
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Biotin   ,biotin
Pantothenic Acid   (as D-Calcium Pantothenate)  ,pantothenic acid
Choline   (as Choline Bitartrate)  ,choline
Inositol   ,inositol
Vitamin A   (as Beta Carotene)  ,vitamin a
Vitamin C   (Ascorbic Acid)  ,vitamin c
Vitamin E   (as D-Alpha Tocopheryl Succinate)  ,vitamin e
Vitamin B2  (Riboflavin)   ,vitamin b2
Vitamin B6   (as Pyridoxide HCl)  ,vitamin b6
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Inositol   ,inositol
Vitamin D3  (Cholecalciferol )   ,vitamin d3
Vitamin A   (as Beta Carotene)  ,vitamin a
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin D   (as Cholecalciferol)  ,vitamin d
Vitamin E   (as D-Alpha Tocopheryl Succinate)  ,vitamin e
Thiamine   (as Thiamine HCl)  ,thiamine
Vitamin B2  (Riboflavin)   ,vitamin b2
Niacin   ,niacin
Vitamin B6   (as Pyridoxine HCl)  ,vitamin b6
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Biotin   ,biotin
Vitamin E   (Mixed Tocopherols)  ,vitamin e
Vitamin A   ,vitamin a
Vitamin C   ,vitamin c
Vitamin A   (as 100.0% natural beta-carotene)  ,vitamin a
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin D3  (Cholecalciferol )   ,vitamin d3
Vitamin E   (as D-Alpha Tocopheryl Succinate)  ,vitamin e
Thiamin   (as Thiamine Mononitrate)  ,thiamin
Riboflavin   ,riboflavin
Niacin   (as Niacinamide)  ,niacin
Folic Acid   ,folic acid
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Biotin   ,biotin
Pantothenic Acid   (as D-Calcium Pantothenate)  ,pantothenic acid
Choline   (as Choline Bitartrate)  ,choline
Inositol   ,inositol
Vitamin B12   (as Cyanocobalamin)  ,vitamin b12
Riboflavin  (Vitamin B2)   ,riboflavin
Vitamin B6   (Pyridoxine Hydrochloride)  ,vitamin b6
Vitamin A   (as Retinyl Acetate)  ,vitamin a
Vitamin C  (Ascorbic Acid)   ,vitamin c
Vitamin D   (as Cholecalciferol)  ,vitamin d
